"data";"valor"
"01/01/2003";"67,44595"
"01/02/2003";"69,20884"
"01/03/2003";"72,53685"
"01/04/2003";"71,67697"
"01/05/2003";"70,35145"
"01/06/2003";"69,14851"
"01/07/2003";"72,28555"
"01/08/2003";"71,17741"
"01/09/2003";"72,15907"
"01/10/2003";"73,69094"
"01/11/2003";"71,51410"
"01/12/2003";"69,95835"
"01/01/2004";"69,15227"
"01/02/2004";"69,75955"
"01/03/2004";"78,54648"
"01/04/2004";"75,30696"
"01/05/2004";"74,37239"
"01/06/2004";"75,05414"
"01/07/2004";"78,19234"
"01/08/2004";"77,61650"
"01/09/2004";"76,60565"
"01/10/2004";"76,37981"
"01/11/2004";"76,86798"
"01/12/2004";"75,44782"
"01/01/2005";"72,61546"
"01/02/2005";"72,95210"
"01/03/2005";"80,96191"
"01/04/2005";"78,80743"
"01/05/2005";"77,76167"
"01/06/2005";"78,20725"
"01/07/2005";"79,36940"
"01/08/2005";"80,77160"
"01/09/2005";"77,82645"
"01/10/2005";"78,09038"
"01/11/2005";"78,37345"
"01/12/2005";"78,03556"
"01/01/2006";"76,14353"
"01/02/2006";"75,61308"
"01/03/2006";"83,53646"
"01/04/2006";"78,99009"
"01/05/2006";"82,20132"
"01/06/2006";"80,24439"
"01/07/2006";"83,75514"
"01/08/2006";"84,91810"
"01/09/2006";"81,51716"
"01/10/2006";"83,70183"
"01/11/2006";"83,24015"
"01/12/2006";"81,57989"
"01/01/2007";"80,51483"
"01/02/2007";"79,49173"
"01/03/2007";"87,75472"
"01/04/2007";"84,37811"
"01/05/2007";"86,90840"
"01/06/2007";"85,83826"
"01/07/2007";"89,67944"
"01/08/2007";"90,52129"
"01/09/2007";"86,44355"
"01/10/2007";"90,60382"
"01/11/2007";"88,29591"
"01/12/2007";"85,87607"
"01/01/2008";"85,47385"
"01/02/2008";"85,50951"
"01/03/2008";"90,47827"
"01/04/2008";"90,82095"
"01/05/2008";"90,43071"
"01/06/2008";"91,59804"
"01/07/2008";"95,76938"
"01/08/2008";"93,90175"
"01/09/2008";"93,01081"
"01/10/2008";"93,14794"
"01/11/2008";"87,38722"
"01/12/2008";"83,40099"
"01/01/2009";"80,80383"
"01/02/2009";"80,84433"
"01/03/2009";"89,65063"
"01/04/2009";"86,34161"
"01/05/2009";"87,26343"
"01/06/2009";"88,10791"
"01/07/2009";"92,19349"
"01/08/2009";"91,67807"
"01/09/2009";"91,05246"
"01/10/2009";"92,92899"
"01/11/2009";"90,92131"
"01/12/2009";"90,64609"
"01/01/2010";"88,24706"
"01/02/2010";"89,50878"
"01/03/2010";"100,61327"
"01/04/2010";"96,00346"
"01/05/2010";"95,75850"
"01/06/2010";"95,45770"
"01/07/2010";"99,35045"
"01/08/2010";"99,28508"
"01/09/2010";"97,82198"
"01/10/2010";"97,72925"
"01/11/2010";"97,97619"
"01/12/2010";"95,87741"
"01/01/2011";"93,05458"
"01/02/2011";"95,52223"
"01/03/2011";"101,66218"
"01/04/2011";"98,12051"
"01/05/2011";"100,46787"
"01/06/2011";"99,42756"
"01/07/2011";"101,84478"
"01/08/2011";"103,46687"
"01/09/2011";"99,81771"
"01/10/2011";"99,61615"
"01/11/2011";"99,51195"
"01/12/2011";"97,66271"
"01/01/2012";"93,52812"
"01/02/2012";"94,93914"
"01/03/2012";"102,65410"
"01/04/2012";"98,09574"
"01/05/2012";"101,39913"
"01/06/2012";"99,79829"
"01/07/2012";"103,43341"
"01/08/2012";"105,15099"
"01/09/2012";"99,32127"
"01/10/2012";"103,60732"
"01/11/2012";"101,11522"
"01/12/2012";"97,86203"
"01/01/2013";"97,72463"
"01/02/2013";"95,49141"
"01/03/2013";"103,81984"
"01/04/2013";"105,07020"
"01/05/2013";"103,13055"
"01/06/2013";"101,62003"
"01/07/2013";"106,70692"
"01/08/2013";"106,48380"
"01/09/2013";"103,29950"
"01/10/2013";"106,55098"
"01/11/2013";"103,66523"
"01/12/2013";"102,24973"
"01/01/2014";"100,10670"
"01/02/2014";"100,67607"
"01/03/2014";"104,53427"
"01/04/2014";"103,59751"
"01/05/2014";"103,21166"
"01/06/2014";"98,82057"
"01/07/2014";"105,10944"
"01/08/2014";"104,00452"
"01/09/2014";"103,89798"
"01/10/2014";"105,00799"
"01/11/2014";"101,65257"
"01/12/2014";"102,04245"
"01/01/2015";"97,52729"
"01/02/2015";"95,98631"
"01/03/2015";"104,89302"
"01/04/2015";"99,94829"
"01/05/2015";"98,03887"
"01/06/2015";"97,13723"
"01/07/2015";"100,41521"
"01/08/2015";"98,73505"
"01/09/2015";"96,83810"
"01/10/2015";"98,33651"
"01/11/2015";"95,50403"
"01/12/2015";"95,61534"
"01/01/2016";"90,33436"
"01/02/2016";"91,95879"
"01/03/2016";"98,49780"
"01/04/2016";"95,35073"
"01/05/2016";"93,44611"
"01/06/2016";"94,75000"
"01/07/2016";"95,81365"
"01/08/2016";"96,77447"
"01/09/2016";"93,86260"
"01/10/2016";"93,22088"
"01/11/2016";"92,93588"
"01/12/2016";"93,77482"
"01/01/2017";"90,57049"
"01/02/2017";"90,92233"
"01/03/2017";"99,65883"
"01/04/2017";"93,79178"
"01/05/2017";"95,21910"
"01/06/2017";"94,60045"
"01/07/2017";"97,02338"
"01/08/2017";"98,23504"
"01/09/2017";"94,56117"
"01/10/2017";"95,51687"
"01/11/2017";"94,90077"
"01/12/2017";"95,49162"
"01/01/2018";"92,91197"
"01/02/2018";"91,18549"
"01/03/2018";"99,31652"
"01/04/2018";"97,47225"
"01/05/2018";"92,77597"
"01/06/2018";"96,04873"
"01/07/2018";"98,92449"
"01/08/2018";"100,54449"
"01/09/2018";"95,20656"
"01/10/2018";"98,21490"
"01/11/2018";"96,72118"
"01/12/2018";"95,83058"
"01/01/2019";"93,83694"
"01/02/2019";"94,00213"
"01/03/2019";"97,48510"
"01/04/2019";"97,87797"
"01/05/2019";"97,76382"
"01/06/2019";"94,75021"
"01/07/2019";"100,38051"
"01/08/2019";"99,66813"
"01/09/2019";"96,92156"
"01/10/2019";"100,33995"
"01/11/2019";"97,50977"
"01/12/2019";"96,59324"
"01/01/2020";"94,05038"
"01/02/2020";"94,34760"
"01/03/2020";"95,63347"
"01/04/2020";"83,80699"
"01/05/2020";"84,51222"
"01/06/2020";"89,09194"
"01/07/2020";"95,72771"
"01/08/2020";"95,23939"
"01/09/2020";"96,10802"
"01/10/2020";"98,05736"
"01/11/2020";"96,72667"
"01/12/2020";"97,55777"
"01/01/2021";"92,15856"
"01/02/2021";"94,12812"
"01/03/2021";"101,30080"
"01/04/2021";"97,35500"
"01/05/2021";"96,23283"
"01/06/2021";"96,49890"
"01/07/2021";"99,94403"
"01/08/2021";"99,32152"
"01/09/2021";"97,14390"
"01/10/2021";"96,51695"
"01/11/2021";"97,80684"
"01/12/2021";"99,22884"
"01/01/2022";"91,94782"
"01/02/2022";"95,67845"
"01/03/2022";"104,72046"
"01/04/2022";"100,17761"
"01/05/2022";"99,78183"
"01/06/2022";"99,28254"
"01/07/2022";"104,00916"
"01/08/2022";"104,53119"
"01/09/2022";"101,11346"
"01/10/2022";"99,99727"
"01/11/2022";"98,92096"
"01/12/2022";"99,83923"
"01/01/2023";"95,44532"
"01/02/2023";"98,76644"
"01/03/2023";"110,89359"
"01/04/2023";"104,04804"
"01/05/2023";"102,89173"
"01/06/2023";"102,31590"
"01/07/2023";"105,50848"
"01/08/2023";"106,20331"
"01/09/2023";"101,91284"
"01/10/2023";"102,06224"
"01/11/2023";"101,74246"
"01/12/2023";"101,77089"
"01/01/2024";"99,48285"
"01/02/2024";"102,38893"
"01/03/2024";"109,90938"
"01/04/2024";"109,43145"
"01/05/2024";"104,82594"
"01/06/2024";"105,91070"
